section,metric,value,source_csv,note
accepted_historical,meaningful_wins_vs_coherent_momentum_real_baseline,9,reports/accepted_coherent_momentum/benchmark_results.csv,computed from aggregate_results and compute_meaningful_wins
accepted_historical,meaningful_wins_vs_coherent_direction_reference,4,reports/accepted_coherent_momentum/benchmark_results.csv,computed from aggregate_results and compute_meaningful_wins
accepted_historical,meaningful_wins_vs_adamw,4,reports/accepted_coherent_momentum/benchmark_results.csv,computed from aggregate_results and compute_meaningful_wins
accepted_historical,meaningful_wins_vs_rmsprop,3,reports/accepted_coherent_momentum/benchmark_results.csv,computed from aggregate_results and compute_meaningful_wins
accepted_historical,meaningful_wins_vs_sgd_momentum,3,reports/accepted_coherent_momentum/benchmark_results.csv,computed from aggregate_results and compute_meaningful_wins
accepted_historical,meaningful_wins_vs_topological_adam,4,reports/accepted_coherent_momentum/benchmark_results.csv,computed from aggregate_results and compute_meaningful_wins
directional_instability,coherent_momentum_optimizer_wins_vs_adamw,2,reports/directional_instability/benchmark_results.csv,focused newcomer-facing instability slice
directional_instability,coherent_momentum_optimizer_improved_wins_vs_adamw,2,reports/directional_instability/benchmark_results.csv,focused newcomer-facing instability slice
directional_instability,coherent_momentum_optimizer_wins_vs_rmsprop,0,reports/directional_instability/benchmark_results.csv,focused newcomer-facing instability slice
directional_instability,coherent_momentum_optimizer_improved_wins_vs_rmsprop,0,reports/directional_instability/benchmark_results.csv,focused newcomer-facing instability slice
directional_instability,coherent_momentum_optimizer_wins_vs_sgd_momentum,0,reports/directional_instability/benchmark_results.csv,focused newcomer-facing instability slice
directional_instability,coherent_momentum_optimizer_improved_wins_vs_sgd_momentum,0,reports/directional_instability/benchmark_results.csv,focused newcomer-facing instability slice
gpu_improved_branch,coherent_momentum_optimizer_improved_wins_vs_coherent_momentum_optimizer,8,reports/coherent_momentum_gpu/gpu_benchmark_results.csv | reports/coherent_momentum_gpu/gpu_cnn_results.csv | reports/coherent_momentum_gpu/gpu_stress_results.csv | reports/coherent_momentum_gpu/gpu_multitask_results.csv,"combined benchmark, stress, cnn, and multitask slices from the improved/GPU audit"
gpu_improved_branch,coherent_momentum_optimizer_improved_wins_vs_adamw,7,reports/coherent_momentum_gpu/gpu_benchmark_results.csv | reports/coherent_momentum_gpu/gpu_cnn_results.csv | reports/coherent_momentum_gpu/gpu_stress_results.csv | reports/coherent_momentum_gpu/gpu_multitask_results.csv,"combined benchmark, stress, cnn, and multitask slices from the improved/GPU audit"
gpu_improved_branch,coherent_momentum_optimizer_improved_wins_vs_rmsprop,7,reports/coherent_momentum_gpu/gpu_benchmark_results.csv | reports/coherent_momentum_gpu/gpu_cnn_results.csv | reports/coherent_momentum_gpu/gpu_stress_results.csv | reports/coherent_momentum_gpu/gpu_multitask_results.csv,"combined benchmark, stress, cnn, and multitask slices from the improved/GPU audit"
gpu_improved_branch,coherent_momentum_optimizer_improved_wins_vs_sgd_momentum,5,reports/coherent_momentum_gpu/gpu_benchmark_results.csv | reports/coherent_momentum_gpu/gpu_cnn_results.csv | reports/coherent_momentum_gpu/gpu_stress_results.csv | reports/coherent_momentum_gpu/gpu_multitask_results.csv,"combined benchmark, stress, cnn, and multitask slices from the improved/GPU audit"
runtime_memory,coherent_momentum_optimizer_mean_runtime_per_step_ms,5.118775474665589,reports/coherent_momentum_gpu/runtime_memory_results.csv,average over runtime_memory_results rows
runtime_memory,coherent_momentum_optimizer_mean_optimizer_state_mb,0.040519714355468736,reports/coherent_momentum_gpu/runtime_memory_results.csv,average over runtime_memory_results rows
runtime_memory,coherent_momentum_optimizer_improved_mean_runtime_per_step_ms,8.282787156962895,reports/coherent_momentum_gpu/runtime_memory_results.csv,average over runtime_memory_results rows
runtime_memory,coherent_momentum_optimizer_improved_mean_optimizer_state_mb,0.040519714355468736,reports/coherent_momentum_gpu/runtime_memory_results.csv,average over runtime_memory_results rows
runtime_memory,adamw_mean_runtime_per_step_ms,1.573228718083361,reports/coherent_momentum_gpu/runtime_memory_results.csv,average over runtime_memory_results rows
runtime_memory,adamw_mean_optimizer_state_mb,0.013522084554036458,reports/coherent_momentum_gpu/runtime_memory_results.csv,average over runtime_memory_results rows
runtime_memory,rmsprop_mean_runtime_per_step_ms,1.4352039911238679,reports/coherent_momentum_gpu/runtime_memory_results.csv,average over runtime_memory_results rows
runtime_memory,rmsprop_mean_optimizer_state_mb,0.006768798828124968,reports/coherent_momentum_gpu/runtime_memory_results.csv,average over runtime_memory_results rows
runtime_memory,sgd_momentum_mean_runtime_per_step_ms,1.3887398318224884,reports/coherent_momentum_gpu/runtime_memory_results.csv,average over runtime_memory_results rows
runtime_memory,sgd_momentum_mean_optimizer_state_mb,0.006753285725911437,reports/coherent_momentum_gpu/runtime_memory_results.csv,average over runtime_memory_results rows
accepted_historical,best_current_cmo_task,breast_cancer_mlp,reports/accepted_coherent_momentum/benchmark_results.csv,"best val loss 0.079857, best val accuracy 0.980469"
