suite,task,task_family,problem_type,optimizer,seed,device,device_name,hyperparameters,final_train_loss,final_val_loss,final_val_accuracy,best_val_loss,best_val_accuracy,steps_to_target_loss,steps_to_target_accuracy,convergence_speed,loss_variance,gradient_norm_variance,update_norm_variance,gradient_norm_stability,update_norm_stability,training_stability,generalization_gap,runtime_seconds,runtime_per_step_ms,optimizer_step_time_ms,samples_per_second,peak_memory_mb,peak_device_memory_mb,optimizer_state_mb,diverged,trace_path,num_parameters,diagnostics_every_n_steps,diagnostics_enabled,diagnostics_rows,mean_oscillation_score,mean_energy_drift,mean_relative_energy_drift,mean_normalized_total_energy,mean_kinetic_energy,mean_potential_energy,mean_total_hamiltonian,mean_momentum_norm,mean_parameter_step_norm,mean_inverse_mass_mean,mean_inverse_mass_std,mean_effective_damping,mean_alignment_scale,mean_effective_lr_scale,mean_grad_momentum_cosine,mean_force_momentum_cosine,mean_grad_previous_grad_cosine,mean_update_previous_update_cosine,mean_rotation_score,mean_rotation_gate,mean_coherence_score,mean_conflict_score,mean_conflict_gate,mean_magneto_activation,mean_stable_gate,mean_field_strength,mean_magneto_projection_strength,mean_magneto_friction_multiplier,mean_soft_conflict_correction,mean_recovery_score,mean_direction_coherence,mean_rotation_score_structural,mean_trust_scale,mean_stress_gate,mean_relative_gradient_scale,mean_constraint_agreement,mean_recoverability_score,mean_support_balance,mean_consensus_strength,mean_component_conflict,mean_memory_alignment,mean_residual_alignment,mean_block_coherence,mean_block_trust_scale,mean_block_norm_ratio,mean_memory_ratio,mean_block_conflict,mean_filter_support,mean_conv_trust_bonus,mean_conv_step_multiplier,mean_route_dense_stable,mean_route_conv_structured,mean_route_stress_response,mean_route_entropy,mean_route_structure_support,mean_observation_recoverability,mean_observation_disagreement,mean_view_support,selection_score
smoke,linear_regression,convex,regression,magneto_hamiltonian_adam,11,mps,Apple MPS,"{""activation_conflict_weight"": 0.7, ""activation_rotation_threshold"": 0.38, ""activation_rotation_weight"": 0.5, ""adaptive_mass_trust"": 0.08, ""alignment_strength"": 0.14, ""betas"": [0.9, 0.999], ""coherence_strength"": 0.12, ""conflict_damping"": 0.2, ""conflict_gate_threshold"": 0.28, ""drift_threshold"": 0.035, ""energy_correction_strength"": 0.06, ""field_clip"": 2.0, ""fixed_mass"": 1.0, ""friction"": 0.03, ""lr"": 0.02, ""mass_alignment_strength"": 0.25, ""mass_anisotropy_cap"": 1.5, ""mass_change_cap"": 1.05, ""mass_mode"": ""fixed"", ""mass_shock_penalty"": 1.4, ""mass_smoothing"": 0.98, ""mass_warmup_steps"": 32, ""max_alignment_scale"": 1.12, ""max_energy_correction"": 0.16, ""max_inverse_mass"": 1.45, ""max_projection"": 0.25, ""min_alignment_scale"": 0.88, ""min_inverse_mass"": 0.55, ""mode"": ""dissipative_hamiltonian"", ""projection_activation_threshold"": 0.18, ""projection_strength"": 0.12, ""relative_energy_floor"": 0.1, ""rotation_penalty"": 0.22, ""stable_coherence_bonus"": 0.24, ""use_adam_preconditioning"": true, ""use_decoupled_weight_decay"": true, ""use_energy_correction"": true, ""use_friction"": true, ""weight_decay"": 0.0001}",0.20666959881782532,0.16068869084119797,,0.03896038606762886,,54.0,,54,0.19119793554953546,0.7540146452014355,6.510401931777089e-05,0.5451167253721346,0.40205941671558193,0.4676450254695041,-0.04598090797662735,2.9663927080109715,41.199898722374606,30.247752363922903,776.7009384084147,0.2961769104003906,26.65625,0.00048065185546875,0,/Users/stevenreid/Documents/New project/repos/magneto-hamiltonian-adam/reports/magneto_gpu/traces/smoke/linear_regression__magneto_hamiltonian_adam__seed11.csv,21,1,1,72,,-0.009918660257719718,-0.01600452552215029,0.27731500794775976,0.02778633115876184,0.47366801323369145,0.5014543443924533,1.0092976466217678,0.020069147984001865,1.0,0.0,0.0046832136289731464,0.9961899863357395,0.9961899863357395,-0.48884553395004837,0.48884553395004837,0.5265765732317883,0.4885565659438,0.3815033806820022,0.13581995173025485,0.4923664512438568,0.06729368602147395,0.1249465768648921,0.1414836908261249,0.8585163091738751,1.3141961419285455,0.007581834522692001,1.0029086400943115,,,,0.3815033806820022,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.048520282845105636
smoke,linear_regression,convex,regression,magneto_hamiltonian_adam_improved,11,mps,Apple MPS,"{""activation_conflict_weight"": 0.7, ""activation_rotation_threshold"": 0.34, ""activation_rotation_weight"": 0.45, ""adaptive_mass_trust"": 0.08, ""alignment_strength"": 0.12, ""betas"": [0.9, 0.999], ""coherence_strength"": 0.1, ""conflict_damping"": 0.0, ""conflict_gate_threshold"": 0.28, ""conv_alignment_scale"": 0.75, ""conv_friction_scale"": 0.72, ""conv_projection_scale"": 0.65, ""conv_safe_mode"": true, ""conv_support_weight"": 0.35, ""conv_update_ratio_cap"": 0.018, ""diagnostics_every_n_steps"": 4, ""drift_threshold"": 0.035, ""energy_correction_strength"": 0.06, ""field_clip"": 2.0, ""fixed_mass"": 1.0, ""friction"": 0.03, ""lr"": 0.02, ""mass_alignment_strength"": 0.25, ""mass_anisotropy_cap"": 1.5, ""mass_change_cap"": 1.05, ""mass_mode"": ""adaptive"", ""mass_shock_penalty"": 1.4, ""mass_smoothing"": 0.98, ""mass_warmup_steps"": 32, ""max_alignment_scale"": 1.1, ""max_energy_correction"": 0.16, ""max_inverse_mass"": 1.45, ""max_projection"": 0.22, ""min_alignment_scale"": 0.92, ""min_inverse_mass"": 0.55, ""mode"": ""dissipative_hamiltonian"", ""preset"": ""balanced"", ""projection_activation_threshold"": 0.16, ""projection_mode"": ""conflict_only"", ""projection_strength"": 0.12, ""relative_energy_floor"": 0.1, ""rotation_penalty"": 0.18, ""soft_conflict_correction"": 0.12, ""soft_conflict_max"": 0.22, ""stable_coherence_bonus"": 0.18, ""standard_safe_strength"": 0.7, ""use_adam_preconditioning"": true, ""use_decoupled_weight_decay"": true, ""use_energy_correction"": true, ""use_friction"": true, ""weight_decay"": 0.0001}",0.10475639998912811,0.0819488875567913,,0.04496419243514538,,54.0,,54,0.19644229486742615,0.7944715660091509,5.9949587936269803e-05,0.5676745808267646,0.41644516128796655,0.4585973629917792,-0.022807512432336807,3.715599499992095,51.60554861100132,45.220796284007115,620.0883599012493,0.20192527770996094,26.671875,0.00048065185546875,0,/Users/stevenreid/Documents/New project/repos/magneto-hamiltonian-adam/reports/magneto_gpu/traces/smoke/linear_regression__magneto_hamiltonian_adam_improved__seed11.csv,21,4,1,18,,0.0361927919485979,0.020532593568969235,0.24918670575944044,0.023967143901727512,0.48360421653423047,0.507571360435958,0.9257465161161771,0.01839814005308757,1.000000520988747,8.777724741424405e-05,0.005597489027848816,1.0073072525362174,1.0073072525362174,-0.6977249698506461,0.6977248885151413,0.7392483837902546,0.697781903255317,0.17794525581929418,0.028053875803986255,0.50572008618878,0.003348139916650123,0.013184103286928602,0.02185311564426229,0.9364802170958784,1.2843776510821447,7.046423706924543e-05,0.9491920255952411,0.004125181870121095,,,0.17794525581929418,,,,,,,,,,,,,,,,0.0,,0.9583333333333334,,,,,,,,,-0.05478630717851669
smoke,linear_regression,convex,regression,adamw,11,mps,Apple MPS,"{""lr"": 0.001, ""weight_decay"": 0.0001}",0.7587107419967651,0.7795619964599609,,0.7395149171352386,,,,63,0.05190930775749325,0.2218221184910388,7.659460589804974e-08,0.18699114864866734,0.09100761801106265,0.7519316704939989,0.0208512544631958,0.5405928750988096,7.508234376372355,1.0401557924018965,4261.987358932311,0.07144451141357422,26.671875,0.0001678466796875,0,/Users/stevenreid/Documents/New project/repos/magneto-hamiltonian-adam/reports/magneto_gpu/traces/smoke/linear_regression__adamw__seed11.csv,21,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7421103825231133
smoke,linear_regression,convex,regression,rmsprop,11,mps,Apple MPS,"{""alpha"": 0.99, ""lr"": 0.005, ""momentum"": 0.0, ""weight_decay"": 0.0}",0.0019228151068091393,0.0016270504565909505,,0.0016270504565909505,,18.0,,72,0.039764761296887045,0.3437398831910096,0.0014148514887281092,1.0542599547172695,1.383922773486843,0.2875259051549038,-0.00029576465021818876,0.6101394159486517,8.474158554842385,0.8825775213255029,3776.1861302104444,0.07383537292480469,26.671875,8.7738037109375e-05,0,/Users/stevenreid/Documents/New project/repos/magneto-hamiltonian-adam/reports/magneto_gpu/traces/smoke/linear_regression__rmsprop__seed11.csv,21,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003615288521435303
smoke,linear_regression,convex,regression,sgd_momentum,11,mps,Apple MPS,"{""lr"": 0.03, ""momentum"": 0.9, ""nesterov"": false, ""weight_decay"": 0.0}",0.003657352877780795,0.002836245112121105,,0.002836245112121105,,18.0,,72,0.041126488453047276,0.32466597571171235,0.0025405059025089215,0.8384984344398937,0.799434997512806,0.3732652608414032,-0.0008211077656596899,0.4957840000279248,6.885888889276733,0.4188802510422344,4647.185064201806,0.07325553894042969,26.671875,8.0108642578125e-05,0,/Users/stevenreid/Documents/New project/repos/magneto-hamiltonian-adam/reports/magneto_gpu/traces/smoke/linear_regression__sgd_momentum__seed11.csv,21,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00489256953477347
smoke,breast_cancer_mlp,neural,binary_classification,magneto_hamiltonian_adam,11,mps,Apple MPS,"{""activation_conflict_weight"": 0.7, ""activation_rotation_threshold"": 0.38, ""activation_rotation_weight"": 0.5, ""adaptive_mass_trust"": 0.08, ""alignment_strength"": 0.14, ""betas"": [0.9, 0.999], ""coherence_strength"": 0.12, ""conflict_damping"": 0.2, ""conflict_gate_threshold"": 0.28, ""drift_threshold"": 0.035, ""energy_correction_strength"": 0.06, ""field_clip"": 2.0, ""fixed_mass"": 1.0, ""friction"": 0.03, ""lr"": 0.02, ""mass_alignment_strength"": 0.25, ""mass_anisotropy_cap"": 1.5, ""mass_change_cap"": 1.05, ""mass_mode"": ""fixed"", ""mass_shock_penalty"": 1.4, ""mass_smoothing"": 0.98, ""mass_warmup_steps"": 32, ""max_alignment_scale"": 1.12, ""max_energy_correction"": 0.16, ""max_inverse_mass"": 1.45, ""max_projection"": 0.25, ""min_alignment_scale"": 0.88, ""min_inverse_mass"": 0.55, ""mode"": ""dissipative_hamiltonian"", ""projection_activation_threshold"": 0.18, ""projection_strength"": 0.12, ""relative_energy_floor"": 0.1, ""rotation_penalty"": 0.22, ""stable_coherence_bonus"": 0.24, ""use_adam_preconditioning"": true, ""use_decoupled_weight_decay"": true, ""use_energy_correction"": true, ""use_friction"": true, ""weight_decay"": 0.0001}",0.5099029541015625,0.5363621711730957,0.7924479246139526,0.5363621711730957,0.9375,,,112,0.004715550511138025,0.006190823098660191,1.1871771527927546e-05,0.20477744848297702,0.4790269635067633,0.5922346328194387,0.026459217071533203,13.572684167069383,121.18468006311949,100.06349109919809,251.09255899939328,0.43410205841064453,26.828125,0.08901214599609375,0,/Users/stevenreid/Documents/New project/repos/magneto-hamiltonian-adam/reports/magneto_gpu/traces/smoke/breast_cancer_mlp__magneto_hamiltonian_adam__seed11.csv,3889,1,1,112,,-0.0019002730559541162,-0.0030303618299153024,3.3868652835356285e-05,2.0167635384044737e-05,0.6481912210583687,0.6482113886937527,0.35789495117480324,0.00719299169337712,1.0,0.0,0.0008110846755497211,1.0110242093001265,1.0110242093001265,-0.7479632149266615,0.7479632149266615,0.7283070100502426,0.7469799209852651,0.2511692255273615,0.03771610997965419,0.5179800159349466,0.01183723213753052,0.018468144855892828,0.028511946885847694,0.9714880531141523,1.305270119085473,0.0015332286476206747,0.9868131274618539,,,,0.2511692255273615,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8836280053571335
smoke,breast_cancer_mlp,neural,binary_classification,magneto_hamiltonian_adam_improved,11,mps,Apple MPS,"{""activation_conflict_weight"": 0.7, ""activation_rotation_threshold"": 0.34, ""activation_rotation_weight"": 0.45, ""adaptive_mass_trust"": 0.08, ""alignment_strength"": 0.12, ""betas"": [0.9, 0.999], ""coherence_strength"": 0.1, ""conflict_damping"": 0.0, ""conflict_gate_threshold"": 0.28, ""conv_alignment_scale"": 0.75, ""conv_friction_scale"": 0.72, ""conv_projection_scale"": 0.65, ""conv_safe_mode"": true, ""conv_support_weight"": 0.35, ""conv_update_ratio_cap"": 0.018, ""diagnostics_every_n_steps"": 4, ""drift_threshold"": 0.035, ""energy_correction_strength"": 0.06, ""field_clip"": 2.0, ""fixed_mass"": 1.0, ""friction"": 0.03, ""lr"": 0.02, ""mass_alignment_strength"": 0.25, ""mass_anisotropy_cap"": 1.5, ""mass_change_cap"": 1.05, ""mass_mode"": ""adaptive"", ""mass_shock_penalty"": 1.4, ""mass_smoothing"": 0.98, ""mass_warmup_steps"": 32, ""max_alignment_scale"": 1.1, ""max_energy_correction"": 0.16, ""max_inverse_mass"": 1.45, ""max_projection"": 0.22, ""min_alignment_scale"": 0.92, ""min_inverse_mass"": 0.55, ""mode"": ""dissipative_hamiltonian"", ""preset"": ""balanced"", ""projection_activation_threshold"": 0.16, ""projection_mode"": ""conflict_only"", ""projection_strength"": 0.12, ""relative_energy_floor"": 0.1, ""rotation_penalty"": 0.18, ""soft_conflict_correction"": 0.12, ""soft_conflict_max"": 0.22, ""stable_coherence_bonus"": 0.18, ""standard_safe_strength"": 0.7, ""use_adam_preconditioning"": true, ""use_decoupled_weight_decay"": true, ""use_energy_correction"": true, ""use_friction"": true, ""weight_decay"": 0.0001}",0.4983493387699127,0.5335051715373993,0.8080729246139526,0.5335051715373993,0.9296875,,,112,0.0046721786039830016,0.005995823550683463,1.0605647042254743e-05,0.20045044479432053,0.472708708036037,0.5960074658667402,0.03515583276748657,17.923417250043713,160.03051116110458,142.99129798330665,190.14231228655285,0.31389713287353516,26.875,0.08901214599609375,0,/Users/stevenreid/Documents/New project/repos/magneto-hamiltonian-adam/reports/magneto_gpu/traces/smoke/breast_cancer_mlp__magneto_hamiltonian_adam_improved__seed11.csv,3889,4,1,28,,0.0030647533487246086,0.004188086245225568,3.009620578324542e-05,1.7995098594759753e-05,0.6520653976393598,0.6520833927379545,0.3369406823899242,0.006730272711125382,1.0,0.0,0.0008358485176665789,1.0064967316353606,1.0064967316353606,-0.7508291346686227,0.7508291346686227,0.7036478321422778,0.749861137387121,0.23940652852789274,0.03682533511060423,0.5142650477521654,0.008928571694663592,0.013392857142857142,0.02393747193058343,0.9492768134389605,1.2931626940678274,0.0014285713633788483,0.9647924994961137,0.004110599982336031,,,0.23940652852789274,,,,,,,,,,,,,,,,0.0,,0.9732142857142857,,,,,,,,,0.8761033739160609
smoke,breast_cancer_mlp,neural,binary_classification,adamw,11,mps,Apple MPS,"{""lr"": 0.001, ""weight_decay"": 0.0001}",0.06647390127182007,0.15570707619190216,0.9098958671092987,0.14257341250777245,0.953125,70.0,,70,0.05006975125471959,0.02268871046400622,0.00016089289763892932,0.4865107517820323,0.3734473985328769,0.5235525612888778,0.08923317492008209,2.024715624982491,18.077818080200814,1.8860062794244317,1683.1993381932195,0.13290977478027344,26.875,0.029693603515625,0,/Users/stevenreid/Documents/New project/repos/magneto-hamiltonian-adam/reports/magneto_gpu/traces/smoke/breast_cancer_mlp__adamw__seed11.csv,3889,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363641711864867
smoke,breast_cancer_mlp,neural,binary_classification,rmsprop,11,mps,Apple MPS,"{""alpha"": 0.99, ""lr"": 0.005, ""momentum"": 0.0, ""weight_decay"": 0.0}",0.05204293131828308,0.1415560245513916,0.9510416984558105,0.08419517311267555,0.984375,14.0,42.0,70,0.009765558984510715,0.028063230153594805,0.18271300737680085,1.2408166510785068,1.4153752173616583,0.27278003626531394,0.08951309323310852,1.9991690829629079,17.84972395502596,1.3582027562993713,1704.7082355580983,0.12697124481201172,26.875,0.014858245849609375,0,/Users/stevenreid/Documents/New project/repos/magneto-hamiltonian-adam/reports/magneto_gpu/traces/smoke/breast_cancer_mlp__rmsprop__seed11.csv,3889,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9754672047395069
smoke,breast_cancer_mlp,neural,binary_classification,sgd_momentum,11,mps,Apple MPS,"{""lr"": 0.03, ""momentum"": 0.9, ""nesterov"": false, ""weight_decay"": 0.0}",0.09811834990978241,0.18618717789649963,0.9471354484558105,0.1023987177759409,0.9471354484558105,56.0,,70,0.049176189694895074,0.029054684990819903,0.00066292018808849,0.6996471105176039,0.6981966007461646,0.4086603462473813,0.08806882798671722,1.8707496670540422,16.703122027268233,0.4821502755346176,1821.7295771949746,0.1258544921875,26.875,0.014835357666015625,0,/Users/stevenreid/Documents/New project/repos/magneto-hamiltonian-adam/reports/magneto_gpu/traces/smoke/breast_cancer_mlp__sgd_momentum__seed11.csv,3889,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9344367671934717
