optimizer,baseline,wins,two_x
magneto_hamiltonian_adam,adamw,7,2
magneto_hamiltonian_adam,rmsprop,5,0
magneto_hamiltonian_adam,sgd_momentum,5,0
magneto_hamiltonian_adam,real_hamiltonian_adam,8,2
magneto_hamiltonian_adam,magneto_adam,7,4
magneto_hamiltonian_adam,topological_adam,7,3
magneto_hamiltonian_adam_improved,adamw,7,3
magneto_hamiltonian_adam_improved,rmsprop,7,0
magneto_hamiltonian_adam_improved,sgd_momentum,5,0
magneto_hamiltonian_adam_improved,real_hamiltonian_adam,9,3
magneto_hamiltonian_adam_improved,magneto_adam,7,6
magneto_hamiltonian_adam_improved,topological_adam,7,3
magneto_hamiltonian_adam_improved,magneto_hamiltonian_adam,8,3
